{'sample_size': 1600, 'difference': -576, 'noise': 0, 'n': 10, 'shap_error': 1.4089383806887159e-12, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 0.9999999999907003, 'gamma': 0.1451016317364097, 'normalized_gamma': 0.00027}
{'sample_size': 50, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0010992204664768896, 'shap_norm_sq': 7331.448472925538, 'weighted_error': 1.0029957051328866, 'gamma': 0.5272284184921763, 'normalized_gamma': 7.2e-05}
{'sample_size': 100, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0008771499871684448, 'shap_norm_sq': 7331.448472925538, 'weighted_error': 1.002390481445203, 'gamma': 0.5272284184921763, 'normalized_gamma': 7.2e-05}
{'sample_size': 200, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0021242068514864387, 'shap_norm_sq': 7331.448472925538, 'weighted_error': 1.005789039674991, 'gamma': 0.5272284184921763, 'normalized_gamma': 7.2e-05}
{'sample_size': 400, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.00041943074986107285, 'shap_norm_sq': 7331.448472925538, 'weighted_error': 1.0011430605953555, 'gamma': 0.5272284184921763, 'normalized_gamma': 7.2e-05}
{'sample_size': 800, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.00010508908941600478, 'shap_norm_sq': 7331.448472925538, 'weighted_error': 1.0002864045507112, 'gamma': 0.5272284184921763, 'normalized_gamma': 7.2e-05}
{'sample_size': 1600, 'difference': -576, 'noise': 0, 'n': 10, 'shap_error': 2.0218328888133155e-13, 'shap_norm_sq': 7331.448472925538, 'weighted_error': 0.999999999999457, 'gamma': 0.5272284184921763, 'normalized_gamma': 7.2e-05}
{'sample_size': 50, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0017884232651235426, 'shap_norm_sq': 1595.9858766196107, 'weighted_error': 1.0317033544612741, 'gamma': 0.06447481769458502, 'normalized_gamma': 4e-05}
{'sample_size': 100, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0006097331616543317, 'shap_norm_sq': 1595.9858766196107, 'weighted_error': 1.0108089019326663, 'gamma': 0.06447481769458502, 'normalized_gamma': 4e-05}
{'sample_size': 200, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.00010615999596853964, 'shap_norm_sq': 1595.9858766196107, 'weighted_error': 1.00188201150593, 'gamma': 0.06447481769458502, 'normalized_gamma': 4e-05}
{'sample_size': 400, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 8.56282117564326e-05, 'shap_norm_sq': 1595.9858766196107, 'weighted_error': 1.0015179085089165, 'gamma': 0.06447481769458502, 'normalized_gamma': 4e-05}
{'sample_size': 800, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 8.95563853893663e-06, 'shap_norm_sq': 1595.9858766196107, 'weighted_error': 1.0001587570688253, 'gamma': 0.06447481769458502, 'normalized_gamma': 4e-05}
{'sample_size': 1600, 'difference': -576, 'noise': 0, 'n': 10, 'shap_error': 2.517648158144289e-13, 'shap_norm_sq': 1595.9858766196107, 'weighted_error': 0.9999999999955411, 'gamma': 0.06447481769458502, 'normalized_gamma': 4e-05}
